server,keyword,author,date,text
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,"The Superior Potato",2026-01-19,https://vxtwitter.com/n4micanflyx/status/2013253970421039511
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,Doki🌸,2025-08-14,"As long as it's not a web novel or untranslated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,Wincest,2024-05-01,https://play.google.com/store/apps/details?id=com.niven.translator
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,"CEO of SOL",2024-04-29,"If it’s sold out I can always buy the untranslated editions. I’ll definitely loot at it. : )"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,Autumn,2023-04-15,"But they're untranslated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,"EvRi | エブリ",2023-04-06,"Yeah... most of the light novels that has the type of dark you're been thinking of is unfortunately unlicensed and untranslated."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","The Superior Potato",2026-03-18,"Here is the information about the light novel series Nourin (also known as No-Rin): Overview  Original Title: のうりん (Nōrin, short for ""Agriculture and Forestry"").,Author: Shirow Shiratori.,Illustrator: Kippu.,Genre: Comedy, Parody, Romance, Seinen.,Status: After a 10-year hiatus, the series is returning for its 14th and final volume, scheduled for release on June 13, 2026. [1, 2, 3, 4], Plot Summary The story follows Kosaku Hata, a student at Tamo Agricultural High School and a devoted fan of the"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Oishik0417,2026-02-18,"If no english I'll leave no problem"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-12-14,"lol. There’s no English LNs so you probably got a fan translation. Who knows how that’s gonna read."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",idk.,2025-12-08,"with no english"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Zeethead,2025-12-01,"maybe it was no english translation yet?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-11-27,"No official English novel but there’s an english manhwa adaptation it seems."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-09-12,"There’s no licensed English version, so no."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-09-12,"There’s no official English title because it’s not officially translated yet."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-06-15,"(No licensed English version yet)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Doki🌸,2025-05-04,"I no english sorry sorry"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",ROo,2024-07-28,"no in old english gay means happy albedo"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","kid darkness",2024-07-02,https://youtu.be/sSnlx1PDehY?si=L5JPydeQdse7Wblo
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","kid darkness",2024-03-30,"No english version?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",ikiru,2024-03-24,"She knows no English and I know no Spanish"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","CEO of SOL",2024-03-04,"Yesss, I just checked Discord before I went to sleep and saw lines of no-English text. pew"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","Isis Remnant",2024-01-27,"and no official English licence too"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",waripablo,2024-01-04,"but..... theres no translation neither english or spanish(my native speak)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",tyaste,2023-10-31,"And there is no English version"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Nook,2023-10-15,"No English though"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Demelza,2023-08-27,"Yeah I’ve watched it and read the manga. Not heard it called that given it got licensed as Oshi no Ko in English too"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Callistiues,2026-02-20,"If not then translate"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Yukitsune Volumia de Bunko🦊",2025-10-16,"Not using proper translations smh"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Lazy Guy [Tree]",2025-07-22,"It's not bad translation it's just the chapters are in disorder"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Chamaeleontis,2025-06-16,"Name: Chamaeleontis Age: 29 Favorite LNs:  Uh, thats a tough choice;       Finding Avalon: The Quest of a Chaosbringer      Isolator      賭博師は祈らない (Gamblers don't pray, not translated in English afaik) Favorite Manga: World Trigger Favorite Anime: Fate Stay/Night: Unlimited Blade Works Favorite Games: Trails series (Trails of Cold Steel in particular) Favorite VN: Utawarerumono Likes: Outside anime related stuff mainly gaming and coding Dislikes: Load places, drinking A Little About You: I am in"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Rizze,2025-05-16,"not translated yet I guess"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",JN,2025-04-22,"Its english translation not english communication (right?)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Kaiser,2025-02-25,"The same thing happened with the cote manga, uncharacteristic pacing, not so accurate translations, and I think it ultimately got shut down ig"
